ID	Number	Type	Description
3'_inner_flank_link	.	String	Three prime inner flank link
5'_inner_flank_link	.	String	Five prime inner flank link
allele_number	.	Integer	allele number
assertion_method	.	String	assertion method
breakpoint_order	.	String	breakpoint order
clinical_significance	.	String	clinical significance
evidence_sequence_link	.	String	evidence sequence link
log2_value	.	Float	log2 value
mutation_order	.	Integer	mutation_order
Name	.	String	name
parent	.	String	parent
phenotype_description	.	String	phenotype description
phenotype_link	.	String	phenotype link
reciprocal_alignment	.	String	reciprocal alignment
remap_score	.	Float	remap score
samples	.	String	samples
submitter_variant_call_id	.	Integer	submitter variant call id
submitter_variant_region_id	.	Integer	submitter variant region id
support_count	.	Integer	support count
supporting_sequence_link	.	String	supporting sequence link
variant_call_description	.	String	variant call description
variant_region_so_id	.	String	variant region SO id
variant_call_so_id	.	String	variant call SO id
